Symbol,Date,Open,High,Low,Close,Percent Change,Volume
AKPL,21/02/2021,330,345,329,334,0.01,167804
AKPL,18/02/2021,331,336,329,330,-0.01,131578
AKPL,17/02/2021,340,340,330,333,-0.01,185035
AKPL,16/02/2021,338,344,330,336,-0.01,253082
AKPL,15/02/2021,336,347,332,338,0.02,231045
AKPL,14/02/2021,350,350,325,331,-0.01,132596
AKPL,11/2/2021,347,347,328,336,0.02,467947
AKPL,10/2/2021,355,355,330,331,-0.02,292000
AKPL,9/2/2021,332,357,332,335,-0.04,212237
AKPL,8/2/2021,359,362,344,349,-0.02,401850
AKPL,7/2/2021,345,368,345,355,0.04,496380
AKPL,4/2/2021,335,346,318,340,0.04,498709
AKPL,3/2/2021,320,335,310,327,0.07,943804
AKPL,2/2/2021,299,306,293,305,0.04,304360
AKPL,1/2/2021,303,303,287,294,0.02,119453
AKPL,31/01/2021,294,295,284,289,-0.03,155261
AKPL,28/01/2021,302,306,293,297,-0.01,232443
AKPL,27/01/2021,303,309,296,301,0.01,190866
AKPL,26/01/2021,300,311,295,299,0,275916
AKPL,25/01/2021,305,314,295,298,-0.02,276130
AKPL,24/01/2021,315,326,303,305,0.02,506533
AKPL,21/01/2021,275,300,269,300,0.1,475655
AKPL,20/01/2021,265,274,265,273,0.01,124299
AKPL,19/01/2021,272,274,267,269,-0.01,151379
AKPL,18/01/2021,270,279,270,272,-0.01,132709
AKPL,17/01/2021,278,280,272,276,0,147702
AKPL,13/01/2021,270,277,269,277,0.04,253995
AKPL,12/1/2021,282,282,264,266,-0.01,116448
AKPL,11/1/2021,264,275,262,269,0.02,80629
AKPL,10/1/2021,267,272,263,264,0,146086
AKPL,7/1/2021,272,272,261,265,-0.01,153465
AKPL,6/1/2021,286,286,266,269,-0.01,138740
AKPL,5/1/2021,276,278,264,273,0.04,309970
AKPL,4/1/2021,259,273,259,263,0.02,191806
AKPL,3/1/2021,259,260,253,259,0.01,137269
AKPL,31/12/2020,250,258,250,257,0.03,166023
AKPL,30/12/2020,262,267,245,250,0,38348
AKPL,29/12/2020,258,259,248,250,-0.02,51210
AKPL,28/12/2020,244,254,244,254,0.03,49733
AKPL,27/12/2020,246,251,245,246,-0.01,72044
AKPL,24/12/2020,259,259,247,249,-0.02,135314
AKPL,23/12/2020,261,266,252,255,-0.02,27417
